Date,Price,Open,High,Low,Vol.,Change %
8/26/2020,"40,862.59","40,292.82","40,894.53","40,292.82",,1.41%
8/25/2020,"40,292.82","39,802.60","40,340.79","39,802.60",,1.23%
8/24/2020,"39,802.60","39,621.59","39,824.56","39,473.11",,0.46%
8/21/2020,"39,621.59","39,868.55","39,868.55","39,240.07",,-0.62%
8/20/2020,"39,868.55","40,154.11","40,249.51","39,781.39",,-0.71%
8/19/2020,"40,154.11","40,184.01","40,424.92","40,065.51",,-0.07%
8/18/2020,"40,184.01","40,122.50","40,434.60","40,113.29",,0.15%
8/17/2020,"40,122.50","40,290.74","40,405.41","39,939.69",,-0.42%
8/13/2020,"40,290.74","40,473.18","40,564.18","39,898.22",,-0.45%
8/12/2020,"40,473.18","40,559.15","41,117.08","40,390.39",,-0.21%
8/11/2020,"40,559.15","39,914.76","40,706.08","39,914.76",,1.61%
8/10/2020,"39,914.76","40,029.69","40,195.22","39,828.91",,-0.29%
8/7/2020,"40,029.69","40,166.12","40,465.95","39,971.11",,-0.34%
8/6/2020,"40,166.12","39,882.78","40,422.83","39,882.78",,0.71%
8/5/2020,"39,882.78","39,577.62","39,940.22","39,425.57",,0.77%
8/4/2020,"39,577.62","39,871.61","40,330.71","39,528.86",,-0.74%
8/3/2020,"39,871.61","39,258.44","39,928.92","39,258.44",,1.56%
7/30/2020,"39,258.44","38,836.27","39,270.46","38,781.18",,1.09%
7/29/2020,"38,836.27","38,627.27","39,124.33","38,627.27",,0.54%
7/28/2020,"38,627.27","38,221.16","38,700.96","38,221.16",,1.06%
7/27/2020,"38,221.16","37,607.62","38,291.77","37,607.62",,1.63%
7/24/2020,"37,607.62","37,578.21","37,863.30","37,259.17",,0.08%
7/23/2020,"37,578.21","37,804.61","38,106.95","37,540.70",,-0.60%
7/22/2020,"37,804.61","37,700.31","37,986.37","37,552.07",,0.28%
7/21/2020,"37,700.31","37,650.57","37,938.87","37,368.52",,0.13%
7/20/2020,"37,650.57","37,330.85","37,741.15","37,330.85",,0.86%
7/17/2020,"37,330.85","37,001.44","37,354.15","37,001.44",,0.89%
7/16/2020,"37,001.44","36,679.03","37,029.25","36,679.03",,0.88%
7/15/2020,"36,679.03","36,745.22","36,891.98","36,638.07",,-0.18%
7/14/2020,"36,745.22","36,618.57","36,936.03","36,534.70",,0.35%
7/13/2020,"36,618.57","36,190.40","36,722.13","36,190.40",,1.18%
7/10/2020,"36,190.40","36,142.17","36,279.56","36,003.18",,0.13%
7/9/2020,"36,142.17","35,694.89","36,190.70","35,694.89",,1.25%
7/8/2020,"35,694.89","35,373.35","35,703.22","35,373.35",,0.91%
7/7/2020,"35,373.35","35,202.77","35,472.68","35,202.77",,0.48%
7/6/2020,"35,202.77","35,051.38","35,238.81","35,002.11",,0.43%
7/3/2020,"35,051.38","34,978.18","35,105.16","34,918.52",,0.21%
7/2/2020,"34,978.18","34,889.41","35,177.39","34,889.41",,0.25%
7/1/2020,"34,889.41","34,421.92","34,924.29","34,409.87",,1.36%
6/30/2020,"34,421.92","34,181.80","34,424.61","34,146.05",,0.70%
6/29/2020,"34,181.80","33,939.49","34,207.00","33,719.51",,0.71%
6/26/2020,"33,939.49","33,709.63","34,028.77","33,709.63",,0.68%
6/25/2020,"33,709.63","34,034.65","34,034.65","33,657.78",,-0.95%
