Date,Price,Open,High,Low,Vol.,Change %,Daily_Return,Volatility_30d
2024-11-28,100082.77,100059.29,100540.29,99354.24,555940000.0,0.82,0.8195085587933804,1.3602082357275136
2024-11-29,101357.32,100393.16,101496.18,99822.62,454630000.0,1.27,1.2734959274208757,1.3551847363713354
2024-12-02,103274.95,101921.21,103386.47,101921.21,695790000.0,1.89,1.89195018179249,1.3746723709662623
2024-12-03,104559.07,103520.0,104680.89,102825.6,756590000.0,1.24,1.2433992947951111,1.3790524839441642
2024-12-04,105104.34,105080.29,105473.56,104315.41,697650000.0,0.52,0.5214946919477992,1.3787113474901163
2024-12-05,108238.97,105661.16,108345.99,105448.06,721600000.0,2.98,2.9823982530122084,1.4229472183611274
2024-12-06,109053.95,108864.72,109478.09,108550.87,658760000.0,0.75,0.7529450806858184,1.4197856622252103
2024-12-09,109970.39,109094.07,110358.85,107625.92,719550000.0,0.84,0.8403547051711646,1.4178354712190677
2024-12-10,108896.65,110738.04,111759.58,107711.4,669930000.0,-0.98,-0.9763900991894281,1.4492995985748551
2024-12-11,110810.22,109455.51,111012.02,109416.32,509280000.0,1.76,1.757234956263587,1.4439146262832467
2024-12-12,114180.51,111308.66,114408.62,111308.66,636220000.0,3.04,3.041497435886331,1.446029950734384
2024-12-13,114301.8,114627.54,115172.45,112609.26,479750000.0,0.11,0.10622653550944605,1.4312260675547
2024-12-16,116169.41,115433.26,116681.59,115346.0,491300000.0,1.63,1.6339287745249953,1.4379457847046806
2024-12-17,114860.69,116308.02,117039.18,113688.55,548570000.0,-1.13,-1.1265616309835802,1.4787424467217598
2024-12-18,111070.29,114854.05,116236.71,110896.27,507240000.0,-3.3,-3.2999975883829413,1.6437231215509243
2024-12-19,106274.98,110140.75,111745.03,105937.37,531309999.99999994,-4.32,-4.3173651567849465,1.8768311515577427
2024-12-20,109513.15,106073.21,109846.64,105601.04,321980000.0,3.05,3.046973050477164,1.9338436855443626
2024-12-23,113924.42,110990.57,114189.72,110891.36,424810000.0,4.03,4.028073340964089,2.0346143038582665
2024-12-24,112414.81,114987.83,115036.5,112294.42,352680000.0,-1.33,-1.3250978148495296,2.0574047512257834
2024-12-26,110423.32,112480.6,112480.6,109858.88,274820000.0,-1.77,-1.771554833388933,2.102731964279067
2024-12-27,111351.18,110658.65,112043.77,110246.93,293220000.0,0.84,0.8402754055936601,2.1024702203124352
2024-12-30,115259.0,111916.71,115422.34,111916.71,521360000.0,3.51,3.5094554004726275,2.169432895589712
2024-12-31,115126.9,116700.02,116700.02,114804.81,580520000.0,-0.11,-0.11461144032136605,2.172894919489125
2025-01-01,117008.08,115258.12,117341.03,114719.89,465170000.0,1.63,1.6340056059878316,2.1797261929468648
2025-01-02,117119.66,117150.31,118367.81,116857.61,383720000.0,0.1,0.09536093575759352,2.174344735002565
2025-01-03,117586.98,117484.9,117891.62,115580.02,398070000.0,0.4,0.399010721171833,2.1637948551846153
2025-01-06,116255.13,118309.5,118735.1,115941.95,369830000.0,-1.13,-1.1326509108406269,2.18818875926774
2025-01-07,116052.68,116667.55,116843.41,113677.5,401230000.0,-0.17,-0.17414285287884468,2.192091332466652
2025-01-08,114148.46,116591.08,117750.23,113847.04,254280000.0,-1.64,-1.640823805189151,2.0916950878541702
2025-01-09,112638.26,114313.0,114329.95,112594.67,268880000.0,-1.32,-1.3230139066265245,1.9550305582569245
2025-01-10,113247.29,112544.62,113554.07,112013.59,216220000.0,0.54,0.5406954972493327,1.953829109590608
2025-01-13,114230.06,113715.5,114496.09,113083.86,198490000.0,0.87,0.8678088455803312,1.9491969308699755
2025-01-14,114804.17,114541.46,115044.79,113836.61,258820000.0,0.5,0.5025909992518507,1.929365888906137
2025-01-15,114495.71,115360.64,115773.39,114298.29,263600000.00000003,-0.27,-0.26868362011588376,1.925546872069398
2025-01-16,113836.74,114800.98,114884.63,113630.45,176920000.0,-0.58,-0.575541214600972,1.9320136226206472
2025-01-17,115272.08,114060.38,115356.12,113571.96,212260000.0,1.26,1.2608758824260047,1.8738048244681735
2025-01-20,115844.82,115868.94,116276.42,115668.08,268339999.99999997,0.5,0.4968592568122432,1.8719087241300145
2025-01-21,115042.25,116320.3,116424.85,114783.72,338090000.0,-0.69,-0.6927974854637475,1.8752711311057069
2025-01-22,113443.43,114996.26,115256.16,113359.38,358350000.0,-1.39,-1.3897676723117036,1.8854563342370716
2025-01-23,114037.79,113580.21,114319.62,113234.31,374090000.0,0.52,0.5239263305067521,1.8625921732091095
2025-01-24,114880.49,114407.66,115779.06,114383.17,280360000.0,0.74,0.7389655657129124,1.7834965929784021
2025-01-27,113520.32,115075.86,115596.87,113482.23,231200000.0,-1.18,-1.183986941559878,1.7972415552653729
2025-01-28,112030.36,113398.28,113644.72,111434.95,211430000.0,-1.31,-1.3125051092174544,1.7849275318826565
2025-01-29,111487.36,112274.42,112569.9,111157.19,201920000.0,-0.48,-0.48469004294907636,1.7760909643998315
2025-01-30,113206.4,111805.66,113400.57,111805.66,172240000.0,1.54,1.5419147067434302,1.6917723992133304
2025-01-31,114255.73,113745.99,115106.99,113692.87,250680000.0,0.93,0.9269175594312618,1.4796614762312517
2025-02-03,112745.01,114550.59,114620.79,112681.34,165870000.0,-1.32,-1.3222269027557743,1.4083941588743414
2025-02-04,111935.38,113091.72,113649.08,111828.11,170650000.0,-0.72,-0.7181071694436714,1.2045016262713755
2025-02-06,110301.16,112053.96,112234.15,109405.54,174300000.0,-1.46,-1.4599673490186982,1.2096588949482436
2025-02-07,110322.94,110575.28,110905.09,109686.53,129190000.0,0.02,0.019745939208615226,1.1654713472420881
2025-02-10,111377.97,110610.81,111622.72,109948.57,193050000.0,0.96,0.9563106276899491,1.1685326403713665
2025-02-11,113010.38,111834.21,113233.41,111834.21,244300000.0,1.47,1.4656489070504763,1.00552441213792
2025-02-12,112924.94,113302.68,113436.72,112621.14,399900000.0,-0.08,-0.07560367463590456,1.0054775979802726
2025-02-13,112564.08,113023.24,113477.71,112540.12,289290000.0,-0.32,-0.3195573980380284,0.9539603982659719
2025-02-14,112085.3,113070.07,113482.13,111861.56,238580000.0,-0.43,-0.4253399485875109,0.9545574258251874
2025-02-17,111743.53,112283.82,112524.81,111513.67,295850000.0,-0.3,-0.30491955680183036,0.9494397064863839
2025-02-18,113088.48,112023.31,113252.55,111642.02,348500000.0,1.2,1.2036043608072866,0.9630825053234201
2025-02-19,113342.44,113465.7,114029.76,113060.26,461110000.0,0.22,0.22456752447288508,0.9645958800363158
2025-02-20,113739.16,113601.96,114202.14,113525.9,507750000.0,0.35,0.3500189337727333,0.9205806545788662
