Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
6/26/2025,122046.46,"123,031.82","123,417.87","122,142.43",244.24M,-0.58%,-0.005842797,0.000560199,0.000834391,16.76000023,-0.719999313,1,0,0,0
6/27/2025,124379.07,"122,229.42","125,285.05","122,222.70",220.31M,1.91%,0.018932127,0.007793358,0.006650102,16.59000015,-0.170000076,1,0,0,0
6/30/2025,125627.31,"124,884.07","125,748.59","124,500.21",258.99M,1.00%,0.009985748,0.004956042,-0.00394317,16.31999969,-0.270000458,3,1,0,0
7/1/2025,128199.43,"126,114.17","128,475.70","126,113.28",336.91M,2.05%,0.020267432,0.004769768,0.003114392,16.72999954,0.409999847,1,0,0,0
7/2/2025,130344.03,"128,616.12","130,545.95","128,616.12",345.79M,1.67%,0.016590241,-0.000323645,0.001863926,16.82999992,0.100000381,1,0,0,0
7/3/2025,130686.66,"130,831.28","131,325.11","129,776.20",280.01M,0.26%,0.00262521,0.004523108,0.00433567,16.63999939,-0.190000534,1,0,0,0
7/4/2025,131949.06,"130,896.03","132,129.59","130,716.11",198.95M,0.97%,0.009613389,0.007850493,0.004522024,16.37999916,-0.260000229,1,0,0,0
7/7/2025,133370.16,"132,485.75","133,862.02","132,467.13",344.25M,1.08%,0.010712481,0.007850493,0.004522024,16.37999916,-0.260000229,3,1,0,0
7/8/2025,133403.19,"133,746.63","134,200.27","132,696.36",324.46M,0.02%,0.000247626,-0.007480044,-0.014251993,17.79000092,1.410001755,1,0,0,0
7/9/2025,132576.98,"133,524.94","133,566.38","132,326.19",161.03M,-0.62%,-0.006212588,-0.000547759,0.006221534,16.80999947,-0.98000145,1,0,0,0
7/10/2025,133782.34,"132,773.88","133,902.34","132,706.03",325.79M,0.91%,0.009050693,0.005978714,-0.001655236,15.93999958,-0.869999886,1,0,0,0
7/11/2025,134299.77,"134,130.91","134,931.95","134,130.41",290.06M,0.39%,0.00386024,0.002816234,0.002688379,15.77999973,-0.159999847,1,0,0,0
7/14/2025,136502.55,"134,937.44","136,841.50","134,937.44",259.91M,1.64%,0.016268905,-0.003521459,-0.003309869,16.39999962,0.619999886,3,1,0,0
7/15/2025,135939.88,"136,840.16","137,747.61","135,826.41",307.74M,-0.41%,-0.004130567,0.001906319,0.001449491,17.20000076,0.800001144,1,0,0,0
7/16/2025,136379.97,"136,169.64","137,232.11","135,542.89",273.10M,0.32%,0.003232158,-0.004282475,0.007215709,17.37999916,0.179998398,1,0,0,0
