Date,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,EMA_crossover,RSI_OB,RSI_OS,MACD_Hist,True_Range,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,drawdown_252,target_next_log_return
2025-04-23,-0.010220049,0.025685002,0.014920398,0.002908417438626767,-3.25,0,0,0,0.0007130560267590529,2.7,1.0,0.0,0.0,51.16995139485982,1690.8500000000058,0.009999999999999787,0.07000000000000028,0.00039676177517478095,0.009101859352196984,0.0035453891677521554,-0.0064687370210361195,-0.011938379552823286,14.0,-0.014393704423250053,-0.019000513782444786
2025-04-24,-0.019000514,0.015376596,0.011452714,0.01269735852713687,-2.119998932,0,0,0,-0.004053468983652305,2.7,1.0,0.0,0.0,-124.67173938300323,2564.949999999997,0.0,0.08000000000000007,-0.010168001698888984,0.00039676177517478095,0.009101859352196984,0.007593683543309915,0.017836124729267322,15.0,-0.032943940340064204,0.003900665441014739
2025-04-25,0.003900665,0.020830598,0.011552817,0.0022913687696201565,-1.98000145,0,0,0,1.3977507133773686e-05,2.7,1.0,0.0,0.0,-204.44651541178985,2128.2899999999936,0.0,0.08999999999999986,-0.018821141869796,-0.010168001698888984,0.00039676177517478095,0.0035453891677521554,-0.011497453162819582,16.0,-0.029164411642323862,-0.01224630910608273
2025-04-28,-0.012246309,0.007199316,-0.00183957,0.006842843773268188,-1.629999161,1,0,0,0.0043958289121555,2.7,0.0,0.0,0.0,-337.7409998848541,2791.1399999999994,0.009999999999999787,0.09999999999999964,0.003908282937671093,-0.018821141869796,-0.010168001698888984,0.009101859352196984,0.01337976008183639,17.0,-0.040981061494923754,0.007061214278246785
2025-04-29,0.007061214,0.000381309,0.00183957,0.0030262902777501116,0.309999466,0,0,0,0.0007121855261124802,2.7,0.0,0.0,0.0,-355.5482266471792,2105.0199999999895,0.009999999999999787,0.09999999999999964,-0.012171628228616616,0.003908282937671093,-0.018821141869796,0.00039676177517478095,0.003311795407923368,18.0,-0.03418525819857077,-0.03135198816619181
2025-04-30,-0.031351988,0.006279526,0.002752936,-0.0015120364114052133,-0.979999542,0,0,0,0.0,2.7,0.0,0.0,0.0,-577.0808771983824,4240.3399999999965,0.009999999999999787,-0.019999999999999574,0.007086203435092031,-0.012171628228616616,0.003908282937671093,-0.010168001698888984,-0.0064687370210361195,19.0,-0.06399572012704757,0.024729379151297668
2025-05-02,0.024729379,0.000396764,0.002516854,0.013899579179791057,0.530000687,1,0,0,-0.0017296656246091754,2.7,0.0,0.0,0.0,-509.22157265456286,3220.300000000003,-0.009999999999999787,-0.03999999999999915,-0.03086561080324224,0.007086203435092031,-0.012171628228616616,-0.018821141869796,0.007593683543309915,20.0,-0.04056033848192142,-0.00010253436027411992
2025-05-05,-0.000102534,0.014735063,0.028170941,0.0018635576471375203,-1.920000076,1,0,0,-0.000588618218077782,2.7,0.0,0.0,0.0,-441.00314510385,1474.5400000000081,-0.009999999999999787,-0.03999999999999915,0.025037686417745064,-0.03086561080324224,0.007086203435092031,0.003908282937671093,0.0035453891677521554,21.0,-0.040658708970573,-0.004688621421558388
2025-05-06,-0.004688621,-0.005750933,0.007527123,-0.00018617114935821506,0.959999084,0,0,0,0.0023182838426870403,2.7,0.0,0.0,0.0,-408.44534857688535,1674.5899999999965,-0.6600000000000001,-0.6699999999999999,-0.00010252910380625924,0.025037686417745064,-0.03086561080324224,-0.012171628228616616,0.009101859352196984,22.0,-0.04514616887724221,-0.03184381382337601
2025-05-07,-0.031843814,-0.008393299,-0.003977919,-0.0035444947663928706,1.120000839,0,0,0,-0.0037749343702028998,2.7,0.0,0.0,0.0,-592.1110449344116,6560.830000000002,-0.6799999999999997,-0.6899999999999995,-0.00467764699448503,-0.00010252910380625924,0.025037686417745064,0.007086203435092031,0.00039676177517478095,23.0,-0.07507333015464934,-0.060731743760518576
